,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,States / UTs,Sewage Generation (in MLD),Installed Capacity (inMLD),Proposed Capacity (inMLD),"Total Treatment Capacity
(in MLD)including
planned/proposed","Operational Treatment Capacity
(inMLD)",AVERAGE,CONFIDENCE INTERVAL
,"Andaman &
Nicobar Islands",23,0,0,0,0,515,696.7478419
,Andhra Pradesh,2882,833,20,853,443,767.6857143,516.9364231
,"Arunachal
Pradesh",62,0,0,0,0,,
,Assam,809,0,0,0,0,,
,Bihar,2276,10,621,631,0,1839.034624,
,Chandigarh,188,293,0,293,271,1364.430883,
,Chhattisgarh,1203,73,0,73,73,,
,"Dadra & Nagar
Haveli",67,24,0,24,24,3382048.35,
,Goa,176,66,38,104,44,1861671.634,
,Gujarat,5013,3378,0,3378,3358,,
,Haryana,1816,1880,0,1880,1880,,
,Himachal Pradesh,116,136,19,155,99,,
,Jammu & Kashmir,665,218,4,222,93,,
,Jharkhand,1510,22,617,639,22,,
,Karnataka,4458,2712,0,2712,1922,,
,Kerala,4256,120,0,120,114,,
,Lakshadweep,13,0,0,0,0,,
,Madhya Pradesh,3646,1839,85,1924,684,,
,Maharashtra,9107,6890,2929,9819,6366,,
,Manipur,168,0,0,0,0,,
,Meghalaya,112,0,0,0,0,,
,Mizoram,103,10,0,10,0,,
,Nagaland,135,0,0,0,0,,
,NCT of Delhi,3330,2896,0,2896,2715,,
,Orissa,1282,378,0,378,55,,
,Pondicherry,161,56,3,59,56,,
,Punjab,1889,1781,0,1781,1601,,
,Rajasthan,3185,1086,109,1195,783,,
,Sikkim,52,20,10,30,18,,
,Tamil Nadu,6421,1492,0,1492,1492,,
,Telangana,2660,901,0,901,842,,
,Tripura,237,8,0,8,8,,
,Uttar Pradesh,8263,3374,0,3374,3224,,
,Uttarakhand,627,448,67,515,345,,
,West Bengal,5457,897,305,1202,337,,
,Total,72368,31841,4827,36668,26869,,
