state_ut,TOTAL_MURDER,RAPE,KIDNAPPING_&_ABDUCTION,KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,DACOITY,ROBBERY,THEFT,RIOTS,DOWRY_DEATHS,ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,IMPORTATION_OF_GIRLS_TO_FOREIGN_COUNTRIES,
A & N ISLANDS,160,109,94,77,15,74,1124,140,6,214,121,0,9102
ANDHRA PRADESH,31756,13479,21239,14936,1987,7605,287190,27459,6215,51999,119007,17,2018981
ARUNACHAL PRADESH,841,500,857,558,260,843,5178,340,2,784,167,0,27652
ASSAM,15432,16178,27939,22920,4170,7467,85475,34963,1276,13620,39388,8,597764
BIHAR,41245,13124,37220,19389,11099,23666,153372,105096,13548,7576,25680,440,1346293
CHANDIGARH,243,281,640,534,31,397,18474,755,42,314,807,0,40807
CHATTISGARH,12060,11838,3345,2630,1468,5113,62873,10897,1142,19165,9573,5,561027
D & N HAVELI,108,56,141,94,40,30,773,260,1,50,38,0,4651
DAMAN & DIU,68,20,31,15,34,23,564,266,3,15,35,0,2948
DELHI UT,6205,6424,25083,15650,381,6461,231546,996,1582,7534,15211,1,633174
GOA,487,350,236,164,55,298,8045,813,19,328,191,0,32051
GUJARAT,13775,4249,15246,12918,3842,14383,213207,22192,502,8998,59431,0,1385775
HARYANA,10471,6410,8656,6129,1375,5871,131394,12656,3130,5323,27112,0,595303
HIMANCHAL PRADESH,1454,1804,1798,1541,45,236,9658,7076,55,3597,3245,0,154948
JAMMU & KASHMIR,6304,2810,9665,8820,188,1312,25767,16207,135,11509,1800,0,259155
JHARKHAND,19060,9159,8476,5282,5906,8711,71322,28599,3291,3985,8409,145,422351
KARNATAKA,19937,5174,10029,5315,2581,17287,199960,78421,2918,23699,30052,47,1481063
KERALA,4733,7447,2891,1898,1364,8329,62353,96274,301,31490,46074,0,1437459
LAKSHADWEEP,3,7,1,1,3,0,113,153,0,5,7,0,743
MADHYA PRADESH,28399,36087,11958,9243,1655,22314,263860,31124,9036,79878,39969,60,2413770
MAHARASHTRA,32767,17986,15101,10853,8175,37719,556807,90244,4249,39219,80363,2,2273436
MANIPUR,1955,387,1811,1057,48,83,4834,851,2,504,219,0,35072
MEGHALAYA,1730,1020,729,264,798,972,6004,147,15,532,165,4,25249
MIZORAM,403,826,96,10,45,114,9803,48,4,816,54,3,26146
NAGALAND,1038,220,392,71,125,1042,3802,65,0,96,9,1,13133
ODISHA,14453,11430,9729,8291,3381,14705,82837,20877,4555,29946,18697,18,647946
PUDUCHERRY,357,77,169,121,38,89,7366,1785,26,613,105,0,54116
PUNJAB,9493,5459,7619,5385,460,1828,50503,34,1546,4047,11998,2,384131
RAJASTHAN,15844,15798,30727,24671,563,9071,232974,36073,5066,30853,100101,6,1855916
SIKKIM,166,195,76,62,6,64,1019,257,2,230,44,0,7000
TAMIL NADU,20127,6418,14302,11722,1061,10619,166405,33116,2074,17452,17136,15,1893234
TRIPURA,2022,2058,1443,875,226,777,4623,2025,314,2773,6514,0,52734
UTTAR PRADESH,65443,19058,59266,47590,4809,30767,312047,54110,23824,29698,77617,3,1858074
UTTARAKHAND,2948,1378,2852,2334,357,1990,20035,5202,906,1545,4142,1,103204
WEST BENGAL,21056,20787,25999,21773,2642,7354,190468,51154,5172,22871,130668,114,1119304
