SUBDIVISION,ANNUAL_AVG ,ANNUALAVG(Jan_to_Feb),ANNUALAVG(Mar_to_May),ANNUALAVG(Jun_to_Sep),ANNUALAVG(Oct_to_Dec)
ANDAMAN & NICOBAR ISLANDS,3087.383333,129.5333333,426.2333333,1758.666667,772.95
TAMIL NADU,833.9333333,10.01666667,72.45,788.5333333,98.93333333
KERALA,2598.216667,8.2,80.85,404.3,251.05
COASTAL ANDHRA PRADESH,1021.05,17.26666667,134.7333333,308.4166667,373.5166667
LAKSHADWEEP,1445.716667,5.24,161.8666667,2870.633333,245.4666667
COASTAL KARNATAKA,3317.42,8.533333333,89.33333333,463.1166667,102.3833333
NORTH INTERIOR KARNATAKA,663.3833333,5.733333333,169.25,666.5833333,164.1166667
RAYALSEEMA,744.4,40.96666667,143.7166667,974.9333333,286.1166667
,,,,,
,,,,,
,,,,,
,,,,,
