SUBDIVISION,year,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC,ANNUAL,ANNUAL AVG (2012-2017),Jan-Feb,ANNUAL AVG (Jan-Feb),Mar-May,ANNUAL AVG (Mar-May),Jun-Sep,ANNUAL AVG (Jun-Sep),Oct-Dec,ANNUAL AVG (Oct-Dec),,,,,,,,,,,,
ANDAMAN & NICOBAR ISLANDS,2012,119.9,45.6,30.9,55.8,533.9,458.2,317.3,369.6,868.9,209.7,300.5,187.3,3497.6,,165.6,,620.5,,2014,,697.5,,,,,,,,,,,,,
ANDAMAN & NICOBAR ISLANDS,2013,67.1,37.6,43,46.3,509.3,777,564.8,336.7,473.6,455.8,354.2,92.3,3757.8,,104.7,,598.6,,2152.1,,902.4,,,,,,,,,,,,,
ANDAMAN & NICOBAR ISLANDS,2014,41.9,8.6,0,11.1,238,416.6,467.6,321.6,412.9,402.6,201.2,100.4,2622.4,3087.383333,50.5,129.5333333,249.1,426.2333333,1618.7,1758.666667,704.2,772.95,,,,,,,,,,,,
ANDAMAN & NICOBAR ISLANDS,2015,126.8,7.6,3.1,138.2,331.9,346.4,328.9,480,523.3,252.1,236.3,129.9,2904.6,,134.4,,473.2,,1678.6,,618.4,,,,,,,,,,,,,
ANDAMAN & NICOBAR ISLANDS,2016,72,15.8,5.4,2.4,191.1,429.4,301.2,227.7,604.3,287.2,181.7,533.7,2851.9,,87.8,,198.9,,1562.6,,1002.6,,,,,,SUBDIVISION,ANNUAL AVG (Jan-Feb),ANNUAL AVG (Mar-May),ANNUAL AVG (Jun-Sep),ANNUAL AVG (Oct-Dec),,SUBDIVISION,ANNUAL AVG (2012-2017)
ANDAMAN & NICOBAR ISLANDS,2017,228.7,5.6,33,108.3,275.8,349.1,389.4,414.7,372.8,263,205.9,243.7,2890,,234.2,,417.1,,1526,,712.6,,,YEAR,AVG OF RAINFALL,,ANDAMAN & NICOBAR ISLANDS,129.5333333,426.2333333,1758.666667,772.95,,ANDAMAN & NICOBAR ISLANDS,3087.383333
TELANGANA,2012,6.7,0,0.2,14,8.4,124.4,300.3,229.9,202.4,83.6,38.7,0,1008.6,,37.6,,66.1,,785,,429.7,,,2013,1561.4722,,TAMIL NADU,10.01666667,72.45,788.5333333,98.93333333,,TAMIL NADU,833.9333333
TELANGANA,2013,2.4,29,0.2,24.4,8.5,213.4,453.8,230.6,161.4,205.9,16.4,2.7,1348.7,,31.7,,76.4,,545,,467.4,,,2014,1502.1019,,KERALA,8.2,80.85,404.3,251.05,,KERALA,2598.216667
TELANGANA,2014,0.2,2.9,58.3,10.3,73.3,62.3,146,205.2,146.8,29.6,10.8,0.7,746.4,970.0166667,1.5,12.8,128,86.96666667,519.7,663.5833333,225.7,257.7,,2015,1472.9296,,COASTAL ANDHRA PRADESH,17.26666667,134.7333333,308.4166667,373.5166667,,COASTAL ANDHRA PRADESH,1021.05
TELANGANA,2015,17.5,0,43,65.7,23.3,266.9,104.4,160.5,158.3,15.6,0.3,1.7,857.3,,2.5,,71.9,,793.6,,142.8,,,2016,1429.4259,,LAKSHADWEEP,5.24,161.8666667,2870.633333,245.4666667,,LAKSHADWEEP,1445.716667
